dataset_file,dataset_stem,status,expectation,expectation_result,return_code,duration_seconds,output_dir,stdout_log,stderr_log,summary_file,segmented_file,low_thr_buy_1,high_thr_buy_1,low_thr_buy_0,high_thr_buy_0,notes
01_happy_path_clear_three_band.csv,01_happy_path_clear_three_band,success,expected_success,matched,0,5.519709,batch_run_outputs_updated_4/cases/01_happy_path_clear_three_band,batch_run_outputs_updated_4/cases/01_happy_path_clear_three_band/stdout.log,batch_run_outputs_updated_4/cases/01_happy_path_clear_three_band/stderr.log,batch_run_outputs_updated_4/cases/01_happy_path_clear_three_band/summary.json,batch_run_outputs_updated_4/cases/01_happy_path_clear_three_band/segmented_users.csv,0.3079940808681529,0.7184368314093222,0.27336150530865344,0.7377551467098576,
02_happy_path_two_band.csv,02_happy_path_two_band,success,expected_success,matched,0,4.938542,batch_run_outputs_updated_4/cases/02_happy_path_two_band,batch_run_outputs_updated_4/cases/02_happy_path_two_band/stdout.log,batch_run_outputs_updated_4/cases/02_happy_path_two_band/stderr.log,batch_run_outputs_updated_4/cases/02_happy_path_two_band/summary.json,batch_run_outputs_updated_4/cases/02_happy_path_two_band/segmented_users.csv,0.1484488807144022,0.4682885793561698,0.1168928834806971,0.4220426920860462,
03_overlap_ambiguous.csv,03_overlap_ambiguous,success,expected_success,matched,0,5.210901,batch_run_outputs_updated_4/cases/03_overlap_ambiguous,batch_run_outputs_updated_4/cases/03_overlap_ambiguous/stdout.log,batch_run_outputs_updated_4/cases/03_overlap_ambiguous/stderr.log,batch_run_outputs_updated_4/cases/03_overlap_ambiguous/summary.json,batch_run_outputs_updated_4/cases/03_overlap_ambiguous/segmented_users.csv,0.3837484585107609,0.6830062001835233,0.2824591314258801,0.5901182854841631,
04_exact_zero_one_and_near_boundaries.csv,04_exact_zero_one_and_near_boundaries,success,expected_success,matched,0,9.880695,batch_run_outputs_updated_4/cases/04_exact_zero_one_and_near_boundaries,batch_run_outputs_updated_4/cases/04_exact_zero_one_and_near_boundaries/stdout.log,batch_run_outputs_updated_4/cases/04_exact_zero_one_and_near_boundaries/stderr.log,batch_run_outputs_updated_4/cases/04_exact_zero_one_and_near_boundaries/summary.json,batch_run_outputs_updated_4/cases/04_exact_zero_one_and_near_boundaries/segmented_users.csv,0.0007424237749422497,0.9999989944573925,1.0000000000000008e-06,0.9905404956630444,
05_class_imbalanced.csv,05_class_imbalanced,success,expected_success,matched,0,5.269037,batch_run_outputs_updated_4/cases/05_class_imbalanced,batch_run_outputs_updated_4/cases/05_class_imbalanced/stdout.log,batch_run_outputs_updated_4/cases/05_class_imbalanced/stderr.log,batch_run_outputs_updated_4/cases/05_class_imbalanced/summary.json,batch_run_outputs_updated_4/cases/05_class_imbalanced/segmented_users.csv,0.28194994852097854,0.7424879332439833,0.2820555396061471,0.7989622877802807,
06_missing_values_and_extra_columns.csv,06_missing_values_and_extra_columns,success,expected_success,matched,0,5.089887,batch_run_outputs_updated_4/cases/06_missing_values_and_extra_columns,batch_run_outputs_updated_4/cases/06_missing_values_and_extra_columns/stdout.log,batch_run_outputs_updated_4/cases/06_missing_values_and_extra_columns/stderr.log,batch_run_outputs_updated_4/cases/06_missing_values_and_extra_columns/summary.json,batch_run_outputs_updated_4/cases/06_missing_values_and_extra_columns/segmented_users.csv,0.28674225004083453,0.7468601249687571,0.2764472328901533,0.5246632750463913,
07_rounded_repeated_scores.csv,07_rounded_repeated_scores,success,expected_success,matched,0,4.55845,batch_run_outputs_updated_4/cases/07_rounded_repeated_scores,batch_run_outputs_updated_4/cases/07_rounded_repeated_scores/stdout.log,batch_run_outputs_updated_4/cases/07_rounded_repeated_scores/stderr.log,batch_run_outputs_updated_4/cases/07_rounded_repeated_scores/summary.json,batch_run_outputs_updated_4/cases/07_rounded_repeated_scores/segmented_users.csv,0.2655023610877692,0.7082780330950594,0.2714162911389858,0.7400885571205281,
08_minimum_valid_group_size.csv,08_minimum_valid_group_size,success,expected_success,matched,0,2.823749,batch_run_outputs_updated_4/cases/08_minimum_valid_group_size,batch_run_outputs_updated_4/cases/08_minimum_valid_group_size/stdout.log,batch_run_outputs_updated_4/cases/08_minimum_valid_group_size/stderr.log,batch_run_outputs_updated_4/cases/08_minimum_valid_group_size/summary.json,batch_run_outputs_updated_4/cases/08_minimum_valid_group_size/segmented_users.csv,0.440606985896066,0.847250174120667,0.10219260556759585,0.5647270105760449,
09_too_few_rows_in_buy1_group.csv,09_too_few_rows_in_buy1_group,failure,expected_failure,matched,1,0.752326,batch_run_outputs_updated_4/cases/09_too_few_rows_in_buy1_group,batch_run_outputs_updated_4/cases/09_too_few_rows_in_buy1_group/stdout.log,batch_run_outputs_updated_4/cases/09_too_few_rows_in_buy1_group/stderr.log,,,,,,,ValueError: Too few rows (19) to fit a stable GMM. Need at least 20 samples.
10_only_buy1_rows.csv,10_only_buy1_rows,success,expected_success,matched,0,2.191688,batch_run_outputs_updated_4/cases/10_only_buy1_rows,batch_run_outputs_updated_4/cases/10_only_buy1_rows/stdout.log,batch_run_outputs_updated_4/cases/10_only_buy1_rows/stderr.log,batch_run_outputs_updated_4/cases/10_only_buy1_rows/summary.json,batch_run_outputs_updated_4/cases/10_only_buy1_rows/segmented_users.csv,0.27966144685471284,0.6245701938462915,,,
11_invalid_buy_values.csv,11_invalid_buy_values,failure,expected_failure,matched,1,0.704763,batch_run_outputs_updated_4/cases/11_invalid_buy_values,batch_run_outputs_updated_4/cases/11_invalid_buy_values/stdout.log,batch_run_outputs_updated_4/cases/11_invalid_buy_values/stderr.log,,,,,,,"ValueError: Column 'buy' must contain only 0/1 values. Found: [-2.0, -1.0, 0.0, 0.5, 1.0, 2.0, 3.0, 4.0, 7.0, 99.0]"
12_wrong_schema_columns.csv,12_wrong_schema_columns,failure,expected_failure,matched,1,0.734186,batch_run_outputs_updated_4/cases/12_wrong_schema_columns,batch_run_outputs_updated_4/cases/12_wrong_schema_columns/stdout.log,batch_run_outputs_updated_4/cases/12_wrong_schema_columns/stderr.log,,,,,,,"ValueError: Missing required columns: ['pred_prob', 'buy']"
13_out_of_range_probabilities.csv,13_out_of_range_probabilities,success,expected_success,matched,0,7.160378,batch_run_outputs_updated_4/cases/13_out_of_range_probabilities,batch_run_outputs_updated_4/cases/13_out_of_range_probabilities/stdout.log,batch_run_outputs_updated_4/cases/13_out_of_range_probabilities/stderr.log,batch_run_outputs_updated_4/cases/13_out_of_range_probabilities/summary.json,batch_run_outputs_updated_4/cases/13_out_of_range_probabilities/segmented_users.csv,1.0055426074688783e-06,0.9999989888840647,1.0055426074688783e-06,0.39451647093016545,
14_constant_repeated_scores.csv,14_constant_repeated_scores,success,expected_success,matched,0,2.257637,batch_run_outputs_updated_4/cases/14_constant_repeated_scores,batch_run_outputs_updated_4/cases/14_constant_repeated_scores/stdout.log,batch_run_outputs_updated_4/cases/14_constant_repeated_scores/stderr.log,batch_run_outputs_updated_4/cases/14_constant_repeated_scores/summary.json,batch_run_outputs_updated_4/cases/14_constant_repeated_scores/segmented_users.csv,0.4901987992192928,0.8449773018205505,0.49022378112212145,0.8449184828243922,
15_narrow_score_range.csv,15_narrow_score_range,success,no_expectation,not_checked,0,5.162547,batch_run_outputs_updated_4/cases/15_narrow_score_range,batch_run_outputs_updated_4/cases/15_narrow_score_range/stdout.log,batch_run_outputs_updated_4/cases/15_narrow_score_range/stderr.log,batch_run_outputs_updated_4/cases/15_narrow_score_range/summary.json,batch_run_outputs_updated_4/cases/15_narrow_score_range/segmented_users.csv,0.5073646759576748,0.5313059661489321,0.4746355952748804,0.49728438813528797,
16_groupwise_constant_scores.csv,16_groupwise_constant_scores,success,expected_success,matched,0,2.301312,batch_run_outputs_updated_4/cases/16_groupwise_constant_scores,batch_run_outputs_updated_4/cases/16_groupwise_constant_scores/stdout.log,batch_run_outputs_updated_4/cases/16_groupwise_constant_scores/stderr.log,batch_run_outputs_updated_4/cases/16_groupwise_constant_scores/summary.json,batch_run_outputs_updated_4/cases/16_groupwise_constant_scores/segmented_users.csv,,,,,
